Year,Municipality,Math_grade_rate_result,Other Parties,The Centre Party,The Christian Democratic Party,The Green Party,The Left Party,The Liberal Party,The Moderate Party,The Social Democratic Party,The Sweden Democrats,Average_income,Income_inequality,Median_income,Lower_education_count,Higher_education_count,Total_population,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,Population,Previous_population,Population_growth_rate,Population_growth
2017,Leksand,88.2,8.0,22.0,12.0,6.0,6.0,2.0,12.0,24.0,6.0,8.6,375.9,336.1,1706.0,2096.0,15591.0,10.94,13.44,1.2286,15447.0,15591.0,-0.009236097748701174,-144.0
2017,Ludvika,83.5,2.0,4.0,0.0,7.000000000000001,9.0,2.0,22.0,38.0,16.0,7.7,346.6,320.7,2279.0,2982.0,26964.0,8.45,11.06,1.3085,26781.0,26964.0,-0.006786826880284824,-183.0
2017,Malung-Sälen,92.8,5.0,10.0,0.0,0.0,10.0,8.0,23.0,38.0,5.0,9.2,368.7,329.6,828.0,840.0,10091.0,8.21,8.32,1.0145,10024.0,10091.0,-0.006639579823605192,-67.0
2017,Mora,78.2,10.0,27.0,2.0,5.0,5.0,2.0,12.0,28.999999999999996,7.000000000000001,7.6,362.4,330.3,1992.0,2377.0,20351.0,9.79,11.68,1.1933,20241.0,20351.0,-0.005405139796570193,-110.0
2017,Orsa,91.0,0.0,39.0,3.0,3.0,6.0,3.0,3.0,26.0,16.0,10.4,331.2,307.5,630.0,694.0,6879.0,9.16,10.09,1.1016,6831.0,6879.0,-0.006977758395115569,-48.0
2017,Rättvik,98.1,0.0,33.0,3.0,5.0,5.0,3.0,13.0,31.0,8.0,8.4,361.4,324.5,1078.0,1127.0,10814.0,9.97,10.42,1.0455,10830.0,10814.0,0.001479563528759016,16.0
2017,Smedjebacken,85.7,0.0,14.000000000000002,0.0,9.0,6.0,3.0,17.0,43.0,9.0,6.9,358.9,337.1,887.0,954.0,10869.0,8.16,8.78,1.0755,10867.0,10869.0,-0.00018400956849756188,-2.0
2017,Säter,87.5,0.0,17.0,3.0,3.0,6.0,6.0,14.000000000000002,40.0,11.0,8.3,368.1,336.8,1048.0,1226.0,11176.0,9.38,10.97,1.1698,11081.0,11176.0,-0.008500357909806728,-95.0
2017,Vansbro,79.4,6.0,35.0,10.0,0.0,6.0,3.0,3.0,32.0,3.0,7.3,336.8,306.0,488.0,487.0,6810.0,7.17,7.15,0.998,6801.0,6810.0,-0.0013215859030837004,-9.0
2017,Älvdalen,92.4,6.0,23.0,0.0,3.0,0.0,0.0,11.0,49.0,9.0,9.5,334.5,317.4,512.0,513.0,7070.0,7.24,7.26,1.002,7039.0,7070.0,-0.004384724186704385,-31.000000000000004
2018,Avesta,71.1,0.0,7.000000000000001,2.0,0.0,5.0,2.0,22.0,46.0,15.0,8.0,346.4,324.1,1907.0,2028.0,23348.0,8.17,8.69,1.0635,23172.0,23348.0,-0.007538118896693507,-176.0
2018,Borlänge,82.2,2.0,8.0,5.0,3.0,8.0,5.0,20.0,33.0,16.0,8.0,340.6,318.9,5120.0,5820.0,52153.0,9.82,11.16,1.1367,51883.0,52153.0,-0.005177075144287001,-270.0
2018,Falun,89.2,2.0,16.0,5.0,5.0,11.0,3.0,20.0,28.000000000000004,10.0,8.1,370.6,330.9,6915.0,10400.0,58888.0,11.74,17.66,1.504,58248.0,58888.0,-0.010868088574921886,-640.0
2018,Gagnef,88.3,14.000000000000002,26.0,11.0,3.0,3.0,3.0,11.0,23.0,6.0,6.9,358.9,329.2,932.0,1114.0,10251.0,9.09,10.87,1.1953,10253.0,10251.0,0.000195102916788606,2.0
2018,Hedemora,87.0,12.0,15.0,2.0,2.0,5.0,2.0,17.0,28.999999999999996,15.0,9.0,342.2,317.1,1360.0,1467.0,15435.0,8.81,9.5,1.0787,15526.0,15435.0,0.0058956916099773245,91.0
2018,Leksand,82.6,6.0,31.0,8.0,0.0,8.0,2.0,16.0,20.0,8.0,8.5,377.9,338.3,1763.0,2167.0,15773.0,11.18,13.74,1.2292,15591.0,15773.0,-0.011538705382615862,-182.0
2018,Ludvika,85.8,2.0,9.0,2.0,4.0,9.0,2.0,22.0,33.0,16.0,7.9,337.1,320.0,2298.0,3002.0,26976.0,8.52,11.13,1.3064,26964.0,26976.0,-0.00044483985765124553,-12.0
2018,Malung-Sälen,90.3,3.0,8.0,0.0,0.0,5.0,5.0,21.0,41.0,18.0,8.6,363.3,334.4,818.0,847.0,10111.0,8.09,8.38,1.0355,10091.0,10111.0,-0.001978043714766096,-20.0
2018,Mora,83.7,15.0,28.999999999999996,5.0,2.0,5.0,0.0,10.0,24.0,10.0,6.8,358.4,331.6,2004.0,2435.0,20358.0,9.84,11.96,1.2151,20351.0,20358.0,-0.00034384517143137833,-7.0
2018,Orsa,75.9,0.0,42.0,6.0,3.0,6.0,0.0,6.0,26.0,10.0,9.8,334.7,311.5,618.0,718.0,6897.0,8.96,10.41,1.1618,6879.0,6897.0,-0.0026098303610265334,-18.0
2018,Rättvik,90.4,0.0,33.0,5.0,0.0,5.0,0.0,15.0,26.0,15.0,8.5,356.5,329.6,1095.0,1150.0,10897.0,10.05,10.55,1.0502,10814.0,10897.0,-0.007616775259245664,-83.0
2018,Smedjebacken,96.7,0.0,11.0,0.0,3.0,6.0,3.0,14.000000000000002,49.0,14.000000000000002,6.8,356.5,339.0,891.0,968.0,10881.0,8.19,8.9,1.0864,10869.0,10881.0,-0.0011028398125172319,-12.0
2018,Säter,91.9,0.0,23.0,3.0,3.0,6.0,3.0,20.0,31.0,11.0,7.3,363.0,332.9,1043.0,1252.0,11143.0,9.36,11.24,1.2004,11176.0,11143.0,0.0029615004935834156,33.0
2018,Vansbro,76.3,16.0,26.0,13.0,0.0,6.0,0.0,10.0,26.0,3.0,8.2,342.0,311.5,499.0,494.0,6789.0,7.35,7.28,0.99,6810.0,6789.0,0.0030932390631904553,21.0
2018,Älvdalen,88.5,9.0,31.0,0.0,0.0,3.0,3.0,9.0,31.0,14.000000000000002,8.8,343.0,319.4,514.0,546.0,7114.0,7.23,7.68,1.0623,7070.0,7114.0,-0.006184987348889514,-44.0
2019,Avesta,79.3,0.0,7.000000000000001,2.0,0.0,5.0,2.0,22.0,46.0,15.0,7.4,348.5,326.1,1905.0,2061.0,23185.0,8.22,8.89,1.0819,23348.0,23185.0,0.007030407591114945,163.0
2019,Borlänge,75.4,2.0,8.0,5.0,3.0,8.0,5.0,20.0,33.0,16.0,7.7,343.0,318.7,5173.0,5978.0,52505.0,9.85,11.39,1.1556,52153.0,52505.0,-0.006704123416817446,-352.0
2019,Falun,89.2,2.0,16.0,5.0,5.0,11.0,3.0,20.0,28.000000000000004,10.0,7.6,369.3,333.4,6879.0,10752.0,59382.0,11.58,18.11,1.563,58888.0,59382.0,-0.008319019231416928,-494.0
2019,Gagnef,92.1,14.000000000000002,26.0,11.0,3.0,3.0,3.0,11.0,23.0,6.0,6.4,354.8,331.1,939.0,1161.0,10311.0,9.11,11.26,1.2364,10251.0,10311.0,-0.005819028222286878,-59.99999999999999
2019,Hedemora,81.3,12.0,15.0,2.0,2.0,5.0,2.0,17.0,28.999999999999996,15.0,8.7,339.5,316.9,1372.0,1502.0,15469.0,8.87,9.71,1.0948,15435.0,15469.0,-0.00219794427564807,-34.0
2019,Leksand,80.6,6.0,31.0,8.0,0.0,8.0,2.0,16.0,20.0,8.0,7.6,424.5,338.2,1749.0,2240.0,15818.0,11.06,14.16,1.2807,15773.0,15818.0,-0.002844860285750411,-45.0
2019,Ludvika,92.1,2.0,9.0,2.0,4.0,9.0,2.0,22.0,33.0,16.0,7.4,343.9,320.0,2291.0,3035.0,26921.0,8.51,11.27,1.3247,26976.0,26921.0,0.0020430147468519,55.0
2019,Malung-Sälen,90.8,3.0,8.0,0.0,0.0,5.0,5.0,21.0,41.0,18.0,8.0,374.9,335.3,829.0,872.0,10087.0,8.22,8.64,1.0519,10111.0,10087.0,0.0023793000892237534,24.0
2019,Mora,81.5,15.0,28.999999999999996,5.0,2.0,5.0,0.0,10.0,24.0,10.0,6.7,366.0,335.9,2003.0,2547.0,20414.0,9.81,12.48,1.2716,20358.0,20414.0,-0.00274321544038405,-56.0
2019,Orsa,85.7,0.0,42.0,6.0,3.0,6.0,0.0,6.0,26.0,10.0,8.9,341.8,312.3,631.0,706.0,6920.0,9.12,10.2,1.1189,6897.0,6920.0,-0.003323699421965318,-23.0
2019,Rättvik,90.4,0.0,33.0,5.0,0.0,5.0,0.0,15.0,26.0,15.0,7.3,361.6,335.0,1115.0,1172.0,10964.0,10.17,10.69,1.0511,10897.0,10964.0,-0.006110908427581174,-67.0
2019,Smedjebacken,90.7,0.0,11.0,0.0,3.0,6.0,3.0,14.000000000000002,49.0,14.000000000000002,6.2,361.7,337.3,897.0,987.0,10886.0,8.24,9.07,1.1003,10881.0,10886.0,-0.0004593055300385817,-5.0
2019,Säter,90.9,0.0,23.0,3.0,3.0,6.0,3.0,20.0,31.0,11.0,6.8,364.6,335.2,1075.0,1280.0,11112.0,9.67,11.52,1.1907,11143.0,11112.0,0.0027897768178545717,31.0
2019,Vansbro,75.0,16.0,26.0,13.0,0.0,6.0,0.0,10.0,26.0,3.0,7.3,341.1,314.8,520.0,519.0,6792.0,7.66,7.64,0.9981,6789.0,6792.0,-0.00044169611307420494,-3.0
2019,Älvdalen,95.3,9.0,31.0,0.0,0.0,3.0,3.0,9.0,31.0,14.000000000000002,7.9,337.9,321.9,505.0,557.0,7029.0,7.18,7.92,1.103,7114.0,7029.0,0.012092758571631812,85.0
2020,Avesta,81.5,0.0,7.000000000000001,2.0,0.0,5.0,2.0,22.0,46.0,15.0,7.2,351.7,328.7,1930.0,2090.0,23100.0,8.35,9.05,1.0829,23185.0,23100.0,0.00367965367965368,85.0
2020,Borlänge,84.1,2.0,8.0,5.0,3.0,8.0,5.0,20.0,33.0,16.0,8.0,339.5,318.7,5187.0,6190.0,52439.0,9.89,11.8,1.1934,52505.0,52439.0,0.001258605236560575,66.0
2020,Falun,90.8,2.0,16.0,5.0,5.0,11.0,3.0,20.0,28.000000000000004,10.0,7.2,373.6,336.5,6825.0,11095.0,59537.0,11.46,18.64,1.6256,59382.0,59537.0,-0.002603423081445152,-155.0
2020,Gagnef,87.0,14.000000000000002,26.0,11.0,3.0,3.0,3.0,11.0,23.0,6.0,6.8,368.3,333.8,958.0,1192.0,10376.0,9.23,11.49,1.2443,10311.0,10376.0,-0.0062644564379336935,-65.0
2020,Hedemora,88.5,12.0,15.0,2.0,2.0,5.0,2.0,17.0,28.999999999999996,15.0,8.5,351.1,319.7,1386.0,1529.0,15423.0,8.99,9.91,1.1032,15469.0,15423.0,0.0029825585165013293,46.0
2020,Leksand,91.4,6.0,31.0,8.0,0.0,8.0,2.0,16.0,20.0,8.0,8.0,376.1,341.4,1769.0,2300.0,15782.0,11.21,14.57,1.3002,15818.0,15782.0,0.0022810797110632366,36.0
2020,Ludvika,89.0,2.0,9.0,2.0,4.0,9.0,2.0,22.0,33.0,16.0,7.7,341.0,321.9,2295.0,3107.0,26666.0,8.61,11.65,1.3538,26921.0,26666.0,0.009562739068476711,254.99999999999997
2020,Malung-Sälen,88.4,3.0,8.0,0.0,0.0,5.0,5.0,21.0,41.0,18.0,7.7,367.3,339.1,848.0,906.0,10112.0,8.39,8.96,1.0684,10087.0,10112.0,-0.0024723101265822786,-25.0
2020,Mora,86.4,15.0,28.999999999999996,5.0,2.0,5.0,0.0,10.0,24.0,10.0,7.3,371.2,333.6,2050.0,2632.0,20490.0,10.0,12.85,1.2839,20414.0,20490.0,-0.003709126403123475,-76.0
2020,Orsa,88.3,0.0,42.0,6.0,3.0,6.0,0.0,6.0,26.0,10.0,9.7,340.3,312.3,623.0,733.0,6898.0,9.03,10.63,1.1766,6920.0,6898.0,0.0031893302406494637,22.0
2020,Rättvik,98.4,0.0,33.0,5.0,0.0,5.0,0.0,15.0,26.0,15.0,7.6,370.7,336.7,1143.0,1224.0,11028.0,10.36,11.1,1.0709,10964.0,11028.0,-0.005803409503083061,-64.0
2020,Smedjebacken,92.7,0.0,11.0,0.0,3.0,6.0,3.0,14.000000000000002,49.0,14.000000000000002,6.6,356.2,338.1,905.0,1027.0,10842.0,8.35,9.47,1.1348,10886.0,10842.0,0.0040582918280760005,44.0
2020,Säter,93.9,0.0,23.0,3.0,3.0,6.0,3.0,20.0,31.0,11.0,6.7,362.1,339.7,1092.0,1304.0,11147.0,9.8,11.7,1.1941,11112.0,11147.0,-0.003139858257827218,-35.0
2020,Vansbro,93.1,16.0,26.0,13.0,0.0,6.0,0.0,10.0,26.0,3.0,7.7,344.3,320.8,520.0,539.0,6807.0,7.64,7.92,1.0365,6792.0,6807.0,-0.0022036139268400176,-15.0
2020,Älvdalen,95.2,9.0,31.0,0.0,0.0,3.0,3.0,9.0,31.0,14.000000000000002,7.8,347.6,327.2,519.0,573.0,7034.0,7.38,8.15,1.104,7029.0,7034.0,-0.0007108330963889679,-5.0
2021,Avesta,74.3,0.0,7.000000000000001,2.0,0.0,5.0,2.0,22.0,46.0,15.0,7.4,356.6,333.1,1966.0,2128.0,22929.0,8.57,9.28,1.0824,23100.0,22929.0,0.007457804527018186,171.0
2021,Borlänge,86.4,2.0,8.0,5.0,3.0,8.0,5.0,20.0,33.0,16.0,7.4,354.9,325.3,5213.0,6314.0,52260.0,9.98,12.08,1.2112,52439.0,52260.0,0.003425181783390739,179.0
2021,Falun,90.6,2.0,16.0,5.0,5.0,11.0,3.0,20.0,28.000000000000004,10.0,6.8,390.8,346.0,6939.0,11451.0,59788.0,11.61,19.15,1.6502,59537.0,59788.0,-0.00419816685622533,-251.00000000000003
2021,Gagnef,96.4,14.000000000000002,26.0,11.0,3.0,3.0,3.0,11.0,23.0,6.0,6.7,381.0,346.6,1019.0,1231.0,10497.0,9.71,11.73,1.208,10376.0,10497.0,-0.011527102981804324,-121.0
2021,Hedemora,83.5,12.0,15.0,2.0,2.0,5.0,2.0,17.0,28.999999999999996,15.0,8.1,369.7,327.2,1425.0,1546.0,15446.0,9.23,10.01,1.0849,15423.0,15446.0,-0.0014890586559627088,-23.0
2021,Leksand,89.0,6.0,31.0,8.0,0.0,8.0,2.0,16.0,20.0,8.0,7.4,417.5,353.4,1813.0,2422.0,16014.0,11.32,15.12,1.3359,15782.0,16014.0,-0.014487323591857126,-232.0
2021,Ludvika,87.1,2.0,9.0,2.0,4.0,9.0,2.0,22.0,33.0,16.0,7.1,350.8,326.2,2318.0,3219.0,26498.0,8.75,12.15,1.3887,26666.0,26498.0,0.006340101139708657,168.0
2021,Malung-Sälen,90.0,3.0,8.0,0.0,0.0,5.0,5.0,21.0,41.0,18.0,7.1,399.3,352.9,878.0,938.0,10159.0,8.64,9.23,1.0683,10112.0,10159.0,-0.0046264396101978545,-47.00000000000001
