Year,Municipality,Math_grade_rate_result,Other Parties,The Centre Party,The Christian Democratic Party,The Green Party,The Left Party,The Liberal Party,The Moderate Party,The Social Democratic Party,The Sweden Democrats,Average_income,Income_inequality,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,education_share,Population,Population_growth_rate
2017,Älvdalen,92.4,5.71,22.86,0.0,2.86,0.0,0.0,11.43,48.57,8.57,9.5,334.5,7.24,7.26,1.002,513.07,7039.0,-0.004384724186704385
2018,Avesta,71.1,0.0,7.32,2.44,0.0,4.88,2.44,21.95,46.34,14.63,8.0,346.4,8.17,8.69,1.0635,2028.08,23172.0,-0.007538118896693507
2018,Borlänge,82.2,1.64,8.2,4.92,3.28,8.2,4.92,19.67,32.79,16.39,8.0,340.6,9.82,11.16,1.1367,5820.1,51883.0,-0.005177075144287001
2018,Falun,89.2,1.64,16.39,4.92,4.92,11.48,3.28,19.67,27.87,9.84,8.1,370.6,11.74,17.66,1.504,10400.12,58248.0,-0.010868088574921886
2018,Gagnef,88.3,14.29,25.71,11.43,2.86,2.86,2.86,11.43,22.86,5.71,6.9,358.9,9.09,10.87,1.1953,1114.09,10253.0,0.000195102916788606
2018,Hedemora,87.0,12.2,14.63,2.44,2.44,4.88,2.44,17.07,29.27,14.63,9.0,342.2,8.81,9.5,1.0787,1467.09,15526.0,0.0058956916099773245
2018,Leksand,82.6,6.12,30.61,8.16,0.0,8.16,2.04,16.33,20.41,8.16,8.5,377.9,11.18,13.74,1.2292,2167.11,15591.0,-0.011538705382615862
2018,Ludvika,85.8,2.22,8.89,2.22,4.44,8.89,2.22,22.22,33.33,15.56,7.9,337.1,8.52,11.13,1.3064,3002.09,26964.0,-0.00044483985765124553
2018,Malung-Sälen,90.3,2.56,7.69,0.0,0.0,5.13,5.13,20.51,41.03,17.95,8.6,363.3,8.09,8.38,1.0355,847.08,10091.0,-0.001978043714766096
2018,Mora,83.7,14.63,29.27,4.88,2.44,4.88,0.0,9.76,24.39,9.76,6.8,358.4,9.84,11.96,1.2151,2435.1,20351.0,-0.00034384517143137833
2018,Orsa,75.9,0.0,41.94,6.45,3.23,6.45,0.0,6.45,25.81,9.68,9.8,334.7,8.96,10.41,1.1618,718.09,6879.0,-0.0026098303610265334
2018,Rättvik,90.4,0.0,33.33,5.13,0.0,5.13,0.0,15.38,25.64,15.38,8.5,356.5,10.05,10.55,1.0502,1150.1,10814.0,-0.007616775259245664
2018,Smedjebacken,96.7,0.0,11.43,0.0,2.86,5.71,2.86,14.29,48.57,14.29,6.8,356.5,8.19,8.9,1.0864,968.08,10869.0,-0.0011028398125172319
2018,Säter,91.9,0.0,22.86,2.86,2.86,5.71,2.86,20.0,31.43,11.43,7.3,363.0,9.36,11.24,1.2004,1252.09,11176.0,0.0029615004935834156
2018,Vansbro,76.3,16.13,25.81,12.9,0.0,6.45,0.0,9.68,25.81,3.23,8.2,342.0,7.35,7.28,0.99,494.07,6810.0,0.0030932390631904553
2018,Älvdalen,88.5,8.57,31.43,0.0,0.0,2.86,2.86,8.57,31.43,14.29,8.8,343.0,7.23,7.68,1.0623,546.07,7070.0,-0.006184987348889514
2019,Avesta,79.3,0.0,7.32,2.44,0.0,4.88,2.44,21.95,46.34,14.63,7.4,348.5,8.22,8.89,1.0819,2061.08,23348.0,0.007030407591114945
2019,Borlänge,75.4,1.64,8.2,4.92,3.28,8.2,4.92,19.67,32.79,16.39,7.7,343.0,9.85,11.39,1.1556,5978.1,52153.0,-0.006704123416817446
2019,Falun,89.2,1.64,16.39,4.92,4.92,11.48,3.28,19.67,27.87,9.84,7.6,369.3,11.58,18.11,1.563,10752.12,58888.0,-0.008319019231416928
2019,Gagnef,92.1,14.29,25.71,11.43,2.86,2.86,2.86,11.43,22.86,5.71,6.4,354.8,9.11,11.26,1.2364,1161.09,10251.0,-0.005819028222286878
2019,Hedemora,81.3,12.2,14.63,2.44,2.44,4.88,2.44,17.07,29.27,14.63,8.7,339.5,8.87,9.71,1.0948,1502.09,15435.0,-0.00219794427564807
2019,Leksand,80.6,6.12,30.61,8.16,0.0,8.16,2.04,16.33,20.41,8.16,7.6,424.5,11.06,14.16,1.2807,2240.11,15773.0,-0.002844860285750411
2019,Ludvika,92.1,2.22,8.89,2.22,4.44,8.89,2.22,22.22,33.33,15.56,7.4,343.9,8.51,11.27,1.3247,3035.09,26976.0,0.0020430147468519
2019,Malung-Sälen,90.8,2.56,7.69,0.0,0.0,5.13,5.13,20.51,41.03,17.95,8.0,374.9,8.22,8.64,1.0519,872.08,10111.0,0.0023793000892237534
2019,Mora,81.5,14.63,29.27,4.88,2.44,4.88,0.0,9.76,24.39,9.76,6.7,366.0,9.81,12.48,1.2716,2547.1,20358.0,-0.00274321544038405
