Year,Municipality,Math_grade_rate_result,Left_share,Right_share,Left_minus_Right,Median_income,Average_income,Income_inequality,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,education_share,Population,Population_growth_rate
2017,Hedemora,85.6,43.910000000000004,26.83,17.080000000000005,319.3,9.0,342.8,8.82,9.17,1.0394,1423.09,15388.0,-0.008888316372536391
2017,Leksand,88.2,36.73,30.6,6.1299999999999955,336.1,8.6,375.9,10.94,13.44,1.2286,2096.11,15447.0,-0.009236097748701174
2017,Ludvika,83.5,53.34,37.78,15.560000000000002,320.7,7.7,346.6,8.45,11.06,1.3085,2982.08,26781.0,-0.006786826880284824
2017,Malung-Sälen,92.8,48.72,28.209999999999997,20.51,329.6,9.2,368.7,8.21,8.32,1.0145,840.08,10024.0,-0.006639579823605192
2017,Mora,78.2,39.03,21.96,17.07,330.3,7.6,362.4,9.79,11.68,1.1933,2377.1,20241.0,-0.005405139796570193
2017,Orsa,91.0,35.49,22.59,12.900000000000002,307.5,10.4,331.2,9.16,10.09,1.1016,694.09,6831.0,-0.006977758395115569
2017,Rättvik,98.1,41.03,23.07,17.96,324.5,8.4,361.4,9.97,10.42,1.0455,1127.1,10830.0,0.001479563528759016
2017,Smedjebacken,85.7,57.14,25.71,31.43,337.1,6.9,358.9,8.16,8.78,1.0755,954.08,10867.0,-0.00018400956849756188
2017,Säter,87.5,48.57,28.58,19.990000000000002,336.8,8.3,368.1,9.38,10.97,1.1698,1226.09,11081.0,-0.008500357909806728
2017,Vansbro,79.4,38.71,16.14,22.57,306.0,7.3,336.8,7.17,7.15,0.998,487.07,6801.0,-0.0013215859030837004
2017,Älvdalen,92.4,51.43,20.0,31.43,317.4,9.5,334.5,7.24,7.26,1.002,513.07,7039.0,-0.004384724186704385
2018,Avesta,71.1,51.220000000000006,39.02,12.200000000000003,324.1,8.0,346.4,8.17,8.69,1.0635,2028.08,23172.0,-0.007538118896693507
2018,Borlänge,82.2,44.269999999999996,40.980000000000004,3.289999999999992,318.9,8.0,340.6,9.82,11.16,1.1367,5820.1,51883.0,-0.005177075144287001
2018,Falun,89.2,44.269999999999996,34.43000000000001,9.83999999999999,330.9,8.1,370.6,11.74,17.66,1.504,10400.12,58248.0,-0.010868088574921886
2018,Gagnef,88.3,28.58,28.57,0.00999999999999801,329.2,6.9,358.9,9.09,10.87,1.1953,1114.09,10253.0,0.000195102916788606
2018,Hedemora,87.0,36.59,34.14,2.450000000000003,317.1,9.0,342.2,8.81,9.5,1.0787,1467.09,15526.0,0.0058956916099773245
2018,Leksand,82.6,28.57,32.65,-4.079999999999998,338.3,8.5,377.9,11.18,13.74,1.2292,2167.11,15591.0,-0.011538705382615862
2018,Ludvika,85.8,46.66,40.0,6.659999999999997,320.0,7.9,337.1,8.52,11.13,1.3064,3002.09,26964.0,-0.00044483985765124553
2018,Malung-Sälen,90.3,46.160000000000004,38.46,7.700000000000003,334.4,8.6,363.3,8.09,8.38,1.0355,847.08,10091.0,-0.001978043714766096
2018,Mora,83.7,31.71,24.4,7.310000000000002,331.6,6.8,358.4,9.84,11.96,1.2151,2435.1,20351.0,-0.00034384517143137833
2018,Orsa,75.9,35.49,22.58,12.910000000000004,311.5,9.8,334.7,8.96,10.41,1.1618,718.09,6879.0,-0.0026098303610265334
2018,Rättvik,90.4,30.77,35.89,-5.120000000000001,329.6,8.5,356.5,10.05,10.55,1.0502,1150.1,10814.0,-0.007616775259245664
2018,Smedjebacken,96.7,57.14,28.58,28.560000000000002,339.0,6.8,356.5,8.19,8.9,1.0864,968.08,10869.0,-0.0011028398125172319
2018,Säter,91.9,40.0,34.29,5.710000000000001,332.9,7.3,363.0,9.36,11.24,1.2004,1252.09,11176.0,0.0029615004935834156
2018,Vansbro,76.3,32.26,25.81,6.449999999999999,311.5,8.2,342.0,7.35,7.28,0.99,494.07,6810.0,0.0030932390631904553
2018,Älvdalen,88.5,34.29,22.86,11.43,319.4,8.8,343.0,7.23,7.68,1.0623,546.07,7070.0,-0.006184987348889514
2019,Avesta,79.3,51.220000000000006,39.02,12.200000000000003,326.1,7.4,348.5,8.22,8.89,1.0819,2061.08,23348.0,0.007030407591114945
2019,Borlänge,75.4,44.269999999999996,40.980000000000004,3.289999999999992,318.7,7.7,343.0,9.85,11.39,1.1556,5978.1,52153.0,-0.006704123416817446
2019,Falun,89.2,44.269999999999996,34.43000000000001,9.83999999999999,333.4,7.6,369.3,11.58,18.11,1.563,10752.12,58888.0,-0.008319019231416928
2019,Gagnef,92.1,28.58,28.57,0.00999999999999801,331.1,6.4,354.8,9.11,11.26,1.2364,1161.09,10251.0,-0.005819028222286878
2019,Hedemora,81.3,36.59,34.14,2.450000000000003,316.9,8.7,339.5,8.87,9.71,1.0948,1502.09,15435.0,-0.00219794427564807
2019,Leksand,80.6,28.57,32.65,-4.079999999999998,338.2,7.6,424.5,11.06,14.16,1.2807,2240.11,15773.0,-0.002844860285750411
2019,Ludvika,92.1,46.66,40.0,6.659999999999997,320.0,7.4,343.9,8.51,11.27,1.3247,3035.09,26976.0,0.0020430147468519
2019,Malung-Sälen,90.8,46.160000000000004,38.46,7.700000000000003,335.3,8.0,374.9,8.22,8.64,1.0519,872.08,10111.0,0.0023793000892237534
2019,Mora,81.5,31.71,24.4,7.310000000000002,335.9,6.7,366.0,9.81,12.48,1.2716,2547.1,20358.0,-0.00274321544038405
2019,Orsa,85.7,35.49,22.58,12.910000000000004,312.3,8.9,341.8,9.12,10.2,1.1189,706.09,6897.0,-0.003323699421965318
2019,Rättvik,90.4,30.77,35.89,-5.120000000000001,335.0,7.3,361.6,10.17,10.69,1.0511,1172.1,10897.0,-0.006110908427581174
2019,Smedjebacken,90.7,57.14,28.58,28.560000000000002,337.3,6.2,361.7,8.24,9.07,1.1003,987.08,10881.0,-0.0004593055300385817
2019,Säter,90.9,40.0,34.29,5.710000000000001,335.2,6.8,364.6,9.67,11.52,1.1907,1280.1,11143.0,0.0027897768178545717
2019,Vansbro,75.0,32.26,25.81,6.449999999999999,314.8,7.3,341.1,7.66,7.64,0.9981,519.08,6789.0,-0.00044169611307420494
2019,Älvdalen,95.3,34.29,22.86,11.43,321.9,7.9,337.9,7.18,7.92,1.103,557.07,7114.0,0.012092758571631812
2020,Avesta,81.5,51.220000000000006,39.02,12.200000000000003,328.7,7.2,351.7,8.35,9.05,1.0829,2090.08,23185.0,0.00367965367965368
2020,Borlänge,84.1,44.269999999999996,40.980000000000004,3.289999999999992,318.7,8.0,339.5,9.89,11.8,1.1934,6190.1,52505.0,0.001258605236560575
2020,Falun,90.8,44.269999999999996,34.43000000000001,9.83999999999999,336.5,7.2,373.6,11.46,18.64,1.6256,11095.11,59382.0,-0.002603423081445152
2020,Gagnef,87.0,28.58,28.57,0.00999999999999801,333.8,6.8,368.3,9.23,11.49,1.2443,1192.09,10311.0,-0.0062644564379336935
