Year,Municipality,Math_grade_rate_result,Left_share,Right_share,Median_income,Average_income,Lower_education_percentage,Population_growth_rate
2022,Orsa,92.6,32.26,32.26,308.1,7.5,9.53,0
2022,Rättvik,90.1,30.77,43.59,330.3,6.8,10.5,-0.004399354
2022,Smedjebacken,92.9,62.86,31.43,332.6,5.8,8.86,-0.001643385
2022,Säter,85.1,42.86,40,333,6,10.15,-0.003196306
2022,Vansbro,72,32.26,48.38,313,6.7,7.82,-0.003535651
2022,Älvdalen,82.7,31.43,34.29,321.2,7.4,7.9,0.002424415
2023,Avesta,81.9,48.78,43.9,314.4,7.8,8.91,0.004953316
2023,Borlänge,85,44.27,42.62,306.5,7.9,10.49,0.008382586
2023,Falun,90.2,45.91,37.71,326.9,6.9,11.7,-0.001884338
2023,Gagnef,91.5,28.57,40,322.9,7,10.1,0.004694386
2023,Hedemora,82.6,34.28,42.86,308.7,8.5,9.7,0.006846635
2023,Leksand,87.2,34.15,31.71,333.8,7.8,11.73,0.002363037
2023,Ludvika,85.5,44.44,42.22,311.9,7.3,9.11,-0.002687969
2023,Malung-Sälen,84.9,41.03,41.02,331.2,7.4,8.97,0.001863476
2023,Mora,88.3,29.27,29.28,326.6,7.3,10.39,0.005301556
2023,Orsa,84.6,32.26,32.26,307.5,8.7,9.57,0.000867052
2023,Rättvik,88.6,30.77,43.59,320.2,8.2,10.8,0.005053239
2023,Smedjebacken,92.2,62.86,31.43,329,6.9,9.09,-0.000273823
2023,Säter,82.8,42.86,40,325.9,7,10.18,0.000621891
2023,Vansbro,73.2,32.26,48.38,306.9,7.1,7.93,0.008019008
2023,Älvdalen,87.8,31.43,34.29,318.5,7.8,7.94,0.012855698
